Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Cardinal,"Cardinal struggles to right past wrongs that could derail his investigation and end his career, as the case grows more violent and twisted and the clock ticks down on the killer's next victim.",30,"Crime, Drama, Mystery","Billy Campbell, Karine Vanasse, Kristen Thomson, Glen Gould",7.7,7578,2017–2020
The Odd Couple,"After being kicked out of their houses by their wives, two friends try to share an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",30,Comedy,"Matthew Perry, Thomas Lennon, Lindsay Sloane, Yvette Nicole Brown",6.4,8511,2015–2017
Crashing,"A comedy series following the lives of six 20- and 30-somethings living together as property guardians of a large, disused hospital.",45,Comedy,"Phoebe Waller-Bridge, Jonathan Bailey, Julie Dray, Louise Ford",7.7,15744,2016
The Circle,"Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle"".",60,"Game-Show, Reality-TV","Michelle Buteau, Jack Atkins, Deleesa Carrasquillo, Courtney Revolution",7.3,5027,2020– 
Revolution,"Fifteen years after a permanent global blackout, a group of revolutionaries seeks to drive out an occupying force posing as the United States Government.",24,"Action, Adventure, Drama","Billy Burke, Tracy Spiridakos, Giancarlo Esposito, Zak Orth",6.7,81337,2012–2014
Looking,The experiences of three close friends living and loving in modern-day San Francisco.,30,"Comedy, Drama, Romance","Jonathan Groff, Frankie J. Alvarez, Murray Bartlett, Lauren Weedman",8.2,16726,2014–2015
According to Jim,"A television show centered around a macho everyman, his loving wife, and their three precocious children.",30,"Comedy, Romance","Jim Belushi, Courtney Thorne-Smith, Larry Joe Campbell, Taylor Atelian",6.4,34580,2001–2009
Mike & Molly,A couple meets at an Overeaters' Anonymous meeting.,60,Comedy,"Billy Gardell, Melissa McCarthy, Reno Wilson, Katy Mixon",6.4,23444,2010–2016
Deep State,"What happens when a man who believes he has retired from MI6 is called back to do one more job to regain his life, only to discover that this job may mean he has no life to go back to.",24,"Action, Drama, Thriller","Joe Dempsie, Karima McAdams, Anastasia Griffith, Alistair Petrie",7.1,4916,2018– 
McMafia,"Alex Godman has spent his life trying to escape the shadow of his family's past. But when a murder unearths their past, Alex is drawn into the criminal underworld where he must confront his values to protect those he loves.",47,"Crime, Drama, Thriller","James Norton, Merab Ninidze, Kirill Pirogov, Igor Pokrajac",7.7,14007,2018– 
Kakegurui,A gambling prodigy comes to an elite school run by games and turns the order upside down.,60,"Animation, Drama, Mystery","Saori Hayami, Tatsuya Tokutake, Miyuki Sawashiro, Minami Tanaka",7.2,5820,2017– 
High Maintenance,A comedy that explores the private lives of unique New York individuals through a common thread: their weed deliveryman.,50,"Comedy, Drama","Ben Sinclair, Kate Lyn Sheil, Britt Lower, Abdullah Saeed",8.1,7298,2016– 
Detectorists,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",45,Comedy,"Mackenzie Crook, Toby Jones, Rachael Stirling, Gerard Horan",8.6,11761,2014–2017
Gran Hotel,"The story of a family-owned hotel set in the fictional coastal Spanish town of Cantaloa in 1905 which is scene to love, blackmail, jealousies, crime, comedy, plots and counter-plots all involving the hotel's owners, guests, detectives and residential employees.",45,"Crime, Drama, Mystery","Adriana Ozores, Amaia Salamanca, Yon González, Eloy Azorín",8.4,9661,2011–2013
Hagane no renkinjutsushi,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.",68,"Animation, Action, Adventure","Vic Mignogna, Aaron Dismuke, Romi Pak, Rie Kugimiya",8.5,64091,2003–2004
Bad Blood,A dramatization of the life and death of Montreal mob boss Vito Rizzuto.,60,"Crime, Drama","Kim Coates, Louis Ferreira, Sharon Taylor, Melanie Scrofano",7.5,7930,2017– 
Haven,"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects.",29,"Crime, Drama, Fantasy","Emily Rose, Lucas Bryant, Eric Balfour, Richard Donat",7.5,35867,2010–2015
Las chicas del cable,"Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.",49,Drama,"Blanca Suárez, Yon González, Ana Fernández, Nadia de Santiago",7.6,12669,2017–2020
Continuum,A detective from the year 2077 finds herself trapped in present day Vancouver and searching for ruthless criminals from the future.,28,"Action, Sci-Fi, Thriller","Rachel Nichols, Victor Webster, Erik Knudsen, Stephen Lobo",7.6,58387,I 2012–2015
Love Child,The lives of staff and residents at the fictional Kings Cross Hospital and Stanton House in Sydney in 1969.,29,Drama,"Jessica Marais, Mandy McElhinney, Miranda Tapsell, Sophie Bloom",7.6,1104,2014–2017
Ask Laftan Anlamaz,Hayat is a country girl with strict parents. She is in a love hate relationship with her boss Murat. Hayat is full of secrets that can ruin her career and relationship.,44,"Comedy, Romance","Hande Erçel, Burak Deniz, Özcan Tekdemir, Merve Çagiran",7.6,5908,2016–2017
The Masked Singer,A singing competition guessing game based on Korean format King of Mask Singer. 12 celebrity performers wear costumes to conceal identities. One singer is eliminated each week and unmasked. Small hints are given for the viewer guess along.,55,"Game-Show, Music, Reality-TV","Jenny McCarthy, Ken Jeong, Nicole Scherzinger, Robin Thicke",6.1,3201,2019–2021
Mozart in the Jungle,"Love, money, ambition and music intertwine in Mozart in the Jungle, a half hour comedic drama that looks at finding yourself and finding love while conquering New York City. A brash new maestro Rodrigo stirs up the New York Symphony as young oboist Hailey hopes for her big chance.",60,"Comedy, Drama, Music","Gael García Bernal, Lola Kirke, Saffron Burrows, Hannah Dunne",8.1,23291,2014–2018
3%,"A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.",30,"Action, Drama, Sci-Fi","Bianca Comparato, Vaneza Oliveira, Rodolfo Valente, Zezé Motta",7.4,22650,2016–2020
Flight of the Conchords,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",45,"Comedy, Music, Musical","Jemaine Clement, Bret McKenzie, Rhys Darby, Kristen Schaal",8.5,56140,2007–2009
Gavin & Stacey,Gavin and Stacey have been continuing their romance on-line and by telephone for the last six months. Now they want to be together but will their friends and family let them?,80,"Comedy, Romance","Mathew Horne, Joanna Page, Alison Steadman, Ruth Jones",8.1,17467,2007–2019
Cloak & Dagger,Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while growing closer together every day.,30,"Action, Adventure, Drama","Olivia Holt, Aubrey Joseph, Gloria Reuben, Emma Lahana",6.7,17970,2018–2019
Carnivàle,"During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.",50,"Drama, Fantasy, Mystery","Michael J. Anderson, Adrienne Barbeau, Clancy Brown, Debra Christofferson",8.4,42850,2003–2005
The Tunnel,"A prominent French politician is found dead on the border between the U.K. and France, and two agents have to work together on behalf of their respective countries to find the murderer.",60,"Crime, Drama, Mystery","Stephen Dillane, Clémence Poésy, Cédric Vieira, Angel Coulby",7.9,7970,2013–2018
Sex Life,Voyeuristic documentary series about titillatingsexual and erotic experiences.,42,Documentary,"Rev Rucifer, Barbara Ann Duffy, Vera Duffy, Natasha Estrada",6.0,83,2019– 
Mako Mermaids,"A young man is magically turned a merman, and discovers his underwater origins, after he comes in contact with the magic waters at the mysterious Mako Island guarded by a trio of mermaids.",30,"Adventure, Comedy, Drama","Chai Hansen, Dominic Deutscher, Gemma Forsyth, Rowan Hills",6.8,3353,2013– 
Breathe,This series just asks one question - how far will you go to protect the one you love. Two desperate and driven men must engage in the ultimate cat and mouse game to save the one they love.,44,"Drama, Thriller","Madhavan, Amit Sadh, Sapna Pabbi, Shriswara",8.3,17093,2018– 
Aseudal Yeondaegi,"Arthdal Chronicles depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes, their struggle, unity and love of people living in a virtual land called Arth.",44,"Action, Drama, Fantasy","Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin",8.4,3083,2019– 
El juego de las llaves,"Eight friends, all in stable relationships, venture into a game of sexual discovery by exchanging couples while trying to free themselves from their daily routines and add a spice to their love lives.",50,"Drama, Romance","Maite Perroni, Humberto Busto, Fabiola Campomanes, Hugo Catalán",6.8,1190,2019– 
Delhi Crime,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",26,"Crime, Drama","Shefali Shah, Rajesh Tailang, Rasika Dugal, Anurag Arora",8.5,15151,2019– 
The Syndicate,Each series features a different group of people whose lives turn upside down after they jointly win the lottery.,24,"Drama, Mystery","Lorraine Bruce, Katherine Rose Morley, Kieran Urquhart, Taj Atwal",7.5,1425,I 2012– 
Rookie Blue,Andy McNally and her friends are out of the academy and must adjust to the challenging life of a police officer at the 15th Division in Toronto.,44,"Crime, Drama","Missy Peregrym, Gregory Smith, Enuka Okuma, Travis Milne",7.7,16207,2010–2015
Toast of London,"Steven Toast, an eccentric middle aged actor with a chequered past, spends more time dealing with his problems off stage than performing on it",22,Comedy,"Matt Berry, Robert Bathurst, Doon Mackichan, Shazad Latif",8.2,6955,2012– 
The Real Housewives of New York City,"A fast-paced reality show that follows several incredibly busy and ambitious Manhattan women. Watch as they balance envious social calendars, challenging careers, and motherhood, with the hustle and bustle of the big city all around.",30,Reality-TV,"Ramona Singer, Luann de Lesseps, Sonja Morgan, Bethenny Frankel",4.5,3155,2008– 
Dollhouse,"A futuristic laboratory has erased the identities of lost young people, and now imprints them with the temporary identities they need to fulfill assignments for clients.",22,"Drama, Mystery, Sci-Fi","Eliza Dushku, Harry Lennix, Fran Kranz, Tahmoh Penikett",7.7,46896,2009–2010
Alta mar,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,30,"Crime, Drama, Mystery","Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",6.8,6323,2019–2020
Tuca & Bertie,The story of two 30-year old bird women who live in the same apartment building.,180,"Animation, Comedy","Tiffany Haddish, Ali Wong, Steven Yeun, Nicole Byer",7.4,5356,2019
Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,"The seemingly normal life of Sakuta Azusagawa, a high school student changes drastically when he meets a wild bunny girl that seems to be invisible to others.",29,"Animation, Drama, Fantasy","Kaito Ishikawa, Asami Seto, Yurika Kubo, Atsumi Tanezaki",8.2,5788,2018– 
Legend of the Seeker,"After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny.",60,"Action, Adventure, Drama","Craig Horner, Bridget Regan, Bruce Spence, Craig Parker",7.6,33665,2008–2010
My Little Pony: Friendship Is Magic,"After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends.",60,"Animation, Adventure, Comedy","Ashleigh Ball, Tara Strong, Tabitha St. Germain, Andrea Libman",7.6,19309,2010–2020
Corner Gas,"The life, or lack thereof, of a proprietor of a gas station, which is the only stop for miles around and a hub of action on the Prairies.",22,Comedy,"Brent Butt, Gabrielle Miller, Fred Ewanuick, Eric Peterson",8.1,6308,2004–2009
Liv and Maddie,"Follows Liv, a popular television star whose show has just finished its run, and Maddie, an outstanding student and school basketball star whose popularity is on the rise, until Liv makes a return to their high school.",30,"Comedy, Drama, Family","Dove Cameron, Joey Bragg, Tenzing Norgay Trainor, Kali Rocha",6.3,7089,2013–2017
The Mick,A hard-living aunt is forced to take care of her wealthy sister's spoiled kids after the mom flees the country to avoid criminal charges.,90,Comedy,"Kaitlin Olson, ""Sofia Black-DElia"", Thomas Barbusca, Carla Jimenez",7.8,14395,2017–2018
Whitechapel,"A fast-tracked inspector, a hardened detective sergeant, and an expert in historical homicides investigate modern crimes with connections to the past in the Whitechapel district of London.",30,"Crime, Mystery, Thriller","Rupert Penry-Jones, Phil Davis, Steve Pemberton, Sam Stockman",7.9,11737,2009–2013
